temperature,humidity,vibration,current,status
76.0,59.0,3253,9.549,FAULT
66.2,70.9,3474,3.073,WARNING
43.2,67.4,2163,4.234,NORMAL
39.0,58.8,2584,7.511,WARNING
72.7,72.5,1527,6.522,WARNING
50.0,77.3,3533,2.181,WARNING
72.1,72.2,3434,7.226,FAULT
45.6,63.8,2977,8.86,WARNING
69.7,61.0,2641,4.959,WARNING
78.7,60.0,2543,7.047,WARNING
63.3,85.5,2774,4.722,WARNING
29.5,58.5,917,3.472,NORMAL
64.4,82.3,2810,2.316,WARNING
53.3,47.9,3360,5.359,WARNING
36.1,89.0,2572,5.796,WARNING
57.6,73.1,1383,3.994,NORMAL
68.3,40.2,1820,9.912,WARNING
27.4,76.9,1641,3.673,NORMAL
44.1,47.3,651,7.72,NORMAL
25.1,61.2,2683,4.697,NORMAL
40.5,47.3,3145,8.468,WARNING
46.6,91.2,1949,7.717,WARNING
75.1,41.9,1223,3.242,NORMAL
79.4,92.9,2302,5.789,WARNING
79.0,85.2,1240,6.777,WARNING
36.5,84.7,1459,8.638,WARNING
30.0,53.8,2281,0.928,NORMAL
47.1,53.5,4006,0.613,WARNING
75.6,64.1,2067,3.463,NORMAL
50.0,85.4,2739,3.529,FAULT
55.3,51.1,3454,2.712,WARNING
79.2,44.7,3261,2.317,WARNING
27.8,60.1,1596,5.228,NORMAL
33.2,76.3,1300,9.854,NORMAL
70.0,56.6,2553,1.449,WARNING
62.6,88.1,4036,0.726,WARNING
24.6,73.3,4047,1.944,NORMAL
73.9,69.5,883,7.45,WARNING
62.7,83.1,1857,3.244,WARNING
43.3,68.3,2123,5.897,NORMAL
77.9,88.2,3691,4.424,FAULT
46.9,50.5,874,1.594,NORMAL
42.7,42.3,3356,1.24,NORMAL
54.3,60.9,3166,4.724,WARNING
71.3,44.3,1391,5.663,NORMAL
53.1,45.3,1148,9.265,WARNING
64.8,69.3,3495,7.041,WARNING
71.8,64.1,2800,3.351,WARNING
39.9,88.2,4079,3.669,WARNING
47.6,88.2,1226,9.258,WARNING
35.1,72.8,1300,6.446,NORMAL
71.1,86.4,2381,4.466,WARNING
47.7,88.7,3071,2.697,WARNING
44.4,75.6,2854,9.163,WARNING
41.8,82.8,3905,2.064,WARNING
55.3,80.6,3351,1.944,WARNING
51.5,51.1,1679,3.689,NORMAL
68.4,57.6,2600,1.771,WARNING
44.9,50.7,2839,0.791,NORMAL
29.5,88.0,3153,2.585,NORMAL
40.2,95.7,698,6.364,WARNING
41.5,85.0,1270,4.838,NORMAL
53.6,57.4,3039,1.428,NORMAL
33.8,81.2,3370,9.434,WARNING
50.6,64.5,1392,8.533,WARNING
37.3,64.5,3896,2.02,NORMAL
61.1,72.7,3364,1.379,WARNING
37.1,72.4,1542,2.666,NORMAL
66.5,67.2,3601,9.665,FAULT
39.0,82.3,2546,8.674,WARNING
33.5,91.7,737,7.224,NORMAL
60.2,85.7,3781,2.633,WARNING
41.2,80.3,2372,0.709,NORMAL
24.2,68.1,774,1.472,NORMAL
62.2,66.8,2148,2.787,NORMAL
38.1,75.9,715,9.714,NORMAL
70.6,63.0,1815,7.773,WARNING
50.7,58.8,2534,9.46,WARNING
59.8,83.9,1433,9.462,WARNING
64.7,72.8,2126,3.636,NORMAL
62.9,82.6,1713,6.642,WARNING
23.4,47.3,3676,2.41,NORMAL
21.8,44.6,985,8.202,NORMAL
74.5,89.2,2117,5.801,WARNING
57.1,76.0,2953,8.51,WARNING
22.6,43.6,1966,2.16,NORMAL
45.6,78.7,2950,3.895,NORMAL
22.6,55.5,2910,3.437,NORMAL
66.7,97.1,2664,0.575,WARNING
29.1,68.1,2928,3.59,NORMAL
49.1,41.3,1464,3.811,NORMAL
47.9,45.2,1411,3.215,NORMAL
55.6,84.2,2449,8.558,WARNING
39.6,73.6,2795,6.559,WARNING
53.6,55.4,1611,3.551,NORMAL
37.8,71.7,3635,4.366,WARNING
43.3,79.5,3108,8.888,WARNING
37.9,100.0,2759,8.504,FAULT
58.0,62.6,1867,9.304,WARNING
35.3,42.3,2262,4.933,NORMAL
22.5,44.3,667,5.28,NORMAL
55.8,81.5,2882,7.449,WARNING
63.1,41.1,3566,6.619,FAULT
37.8,66.6,2364,7.709,NORMAL
52.2,84.5,841,7.284,WARNING
23.2,67.1,3450,8.694,WARNING
39.4,99.9,3056,7.881,WARNING
71.2,41.7,2253,9.001,WARNING
23.6,51.6,1775,5.966,NORMAL
47.2,46.2,1638,3.667,NORMAL
23.6,75.3,2674,5.201,NORMAL
73.2,68.1,1133,5.665,NORMAL
61.7,42.0,3087,8.353,FAULT
40.8,47.9,1230,7.44,NORMAL
66.7,51.2,3756,3.756,WARNING
52.3,67.7,2742,1.788,NORMAL
42.1,86.7,2739,7.466,WARNING
78.8,52.2,2844,7.414,WARNING
75.3,63.5,2950,7.994,WARNING
53.8,66.8,3754,7.129,WARNING
78.3,90.9,1813,7.473,FAULT
67.4,41.7,1615,2.218,NORMAL
34.4,86.7,881,1.06,NORMAL
58.8,60.1,827,8.159,WARNING
72.4,92.3,1101,8.947,FAULT
53.8,66.6,3296,1.688,WARNING
64.7,99.9,1262,7.339,WARNING
31.0,56.2,2345,9.137,NORMAL
53.7,48.0,3111,5.365,WARNING
74.1,99.5,1522,9.5,FAULT
36.8,67.7,1675,7.228,NORMAL
43.2,99.0,1184,4.209,NORMAL
29.9,57.3,1517,8.059,NORMAL
75.7,93.1,2587,2.582,WARNING
61.1,45.8,3311,2.194,WARNING
24.3,75.4,869,6.324,NORMAL
71.3,68.2,1773,4.81,NORMAL
38.3,77.0,2597,7.903,WARNING
63.3,55.1,1410,8.635,WARNING
37.5,52.5,2115,6.339,NORMAL
56.3,52.8,3625,6.042,WARNING
29.8,98.4,2300,0.775,NORMAL
42.8,40.6,2333,7.898,NORMAL
21.8,41.9,1679,4.623,NORMAL
47.4,42.3,3629,8.03,FAULT
38.1,83.0,1147,3.628,NORMAL
39.7,50.2,1832,0.968,NORMAL
64.9,92.2,3050,9.586,FAULT
20.7,69.6,2818,2.675,NORMAL
27.4,66.8,637,7.117,NORMAL
79.9,46.9,3935,3.07,WARNING
32.3,66.9,1252,5.974,NORMAL
76.7,81.8,3787,3.771,WARNING
56.1,77.8,3979,2.522,WARNING
28.0,85.1,808,7.518,NORMAL
59.4,97.0,3220,8.174,FAULT
48.3,93.4,3279,7.77,FAULT
27.3,72.7,3463,3.434,NORMAL
68.1,65.5,1628,8.293,WARNING
53.9,89.0,3637,6.739,FAULT
26.2,68.8,3086,1.355,NORMAL
21.3,77.6,2904,2.267,NORMAL
64.3,92.0,1668,4.084,WARNING
72.3,69.3,959,5.919,NORMAL
26.4,97.4,3502,4.476,WARNING
56.3,48.2,515,2.446,NORMAL
41.2,72.2,4064,7.997,WARNING
67.7,57.5,937,5.95,NORMAL
53.1,92.8,3847,3.608,WARNING
31.8,97.3,1369,3.772,NORMAL
53.8,75.7,2243,7.635,NORMAL
39.2,68.8,3328,8.785,WARNING
22.8,90.2,529,6.765,NORMAL
57.5,82.8,3967,9.292,FAULT
47.8,93.0,2885,1.4,WARNING
47.6,69.6,3295,6.056,WARNING
33.1,48.8,1643,5.211,NORMAL
25.7,64.1,971,9.232,NORMAL
76.0,77.7,1995,4.551,WARNING
71.4,54.9,2425,5.858,WARNING
24.5,49.5,1749,1.408,NORMAL
28.1,52.2,955,7.312,FAULT
60.5,90.0,1628,4.156,WARNING
52.8,74.5,878,7.972,NORMAL
22.5,84.2,2133,6.007,NORMAL
36.1,55.5,3062,3.563,NORMAL
29.2,95.0,2128,3.896,NORMAL
31.7,82.7,1944,4.316,NORMAL
22.4,56.7,2349,1.626,NORMAL
76.0,94.4,2406,8.93,FAULT
62.6,70.3,2545,0.693,WARNING
76.7,73.4,2393,4.389,WARNING
53.4,79.2,879,6.733,NORMAL
77.7,53.3,2727,1.233,WARNING
35.0,85.7,3912,2.643,NORMAL
56.2,66.8,1859,2.54,NORMAL
37.4,83.7,2428,0.596,NORMAL
58.0,74.7,3722,9.458,FAULT
52.1,79.8,2578,5.706,WARNING
20.6,72.0,1648,2.034,NORMAL
74.1,79.4,2223,8.068,WARNING
76.9,84.0,3079,5.515,WARNING
64.1,96.2,3483,6.75,FAULT
64.4,82.4,2221,9.386,FAULT
20.5,90.9,3566,3.206,WARNING
78.1,80.9,1250,1.812,NORMAL
56.9,61.9,3016,9.438,WARNING
74.6,74.6,675,2.781,NORMAL
25.5,40.6,2337,0.971,NORMAL
23.2,59.8,3448,0.574,NORMAL
38.0,79.0,2240,6.105,NORMAL
32.7,40.0,833,9.69,NORMAL
25.6,54.0,683,8.32,NORMAL
49.5,49.1,1026,9.405,WARNING
63.6,50.1,3514,2.421,WARNING
39.2,99.6,2651,5.842,WARNING
50.8,43.0,1762,4.264,NORMAL
54.3,85.6,1116,8.621,WARNING
24.5,72.7,2196,7.649,NORMAL
54.7,86.5,2620,3.409,WARNING
21.4,67.9,812,7.06,NORMAL
